0,1,2,Season,3,4
Predecesor:2016-17,Octavos de final de laLiga de Campeones de la UEFA2017-18,Sucesor:2018-19,2017-18,,
Equipo 1,Agr.,Equipo 2,2018-19,Ida,Vuelta
Schalke 04,2–10,Manchester City,2018-19,2–3,0–7
Atlético de Madrid,2–3,Juventus,2018-19,2–0,0–3
Manchester United,(v)3–3,París Saint-Germain,2018-19,0–2,3–1
Tottenham Hotspur,4–0,Borussia Dortmund,2018-19,3–0,1–0
Olympique de Lyon,1–5,Barcelona,2018-19,0–0,1–5
Roma,3–4(t. s.),Porto,2018-19,2–1,1–3
Ajax,5–3,Real Madrid,2018-19,1–2,4–1
Liverpool,3–1,Bayern Múnich,2018-19,0–0,3–1
Equipo 1,Agr.,Equipo 2,2019-20,Ida,Vuelta
Borussia Dortmund,2–3,París Saint-Germain,2019-20,2–1,0–2
Real Madrid,2–4,Manchester City,2019-20,1–2,1–2
Atalanta,8–4,Valencia,2019-20,4–1,4–3
Atlético de Madrid,4–2(t. s.),Liverpool,2019-20,1–0,3–2
Chelsea,1–7,Bayern Múnich,2019-20,0–3,1–4
Olympique de Lyon,2–2(v.),Juventus,2019-20,1–0,1–2
Tottenham Hotspur,0–4,Leipzig,2019-20,0–1,0–3
Napoli,2–4,Barcelona,2019-20,1–1,1–3
Equipo 1,Agr.,Equipo 2,2020-21,Ida,Vuelta
Borussia Mönchengladbach,0–4,Manchester City,2020-21,0–2,0–2
Lazio,2–6,Bayern Múnich,2020-21,1–4,1–2
Atlético de Madrid,0–3,Chelsea,2020-21,0–1,0–2
Leipzig,0–4,Liverpool,2020-21,0–2,0–2
Porto,4–4(v.)(t. s.),Juventus,2020-21,2–1,2–3
Barcelona,2–5,París Saint-Germain,2020-21,1–4,1–1
Sevilla,4–5,Borussia Dortmund,2020-21,2–3,2–2
Atalanta,1–4,Real Madrid,2020-21,0–1,1–3
Equipo 1,Agr.,Equipo 2,2021-22,Ida,Vuelta
Salzburgo,2–8,Bayern Múnich,2021-22,1–1,1–7
Sporting de Portugal,0–5,Manchester City,2021-22,0–5,0–0
Benfica,3–2,Ajax,2021-22,2–2,1–0
Chelsea,4–1,Lille,2021-22,2–0,2–1
Atlético de Madrid,2–1,Manchester United,2021-22,1–1,1–0
Villarreal,4–1,Juventus,2021-22,1–1,3–0
Inter de Milán,1–2,Liverpool,2021-22,0–2,1–0
París Saint-Germain,2–3,Real Madrid,2021-22,1–0,1–3
Equipo 1,Agr.,Equipo 2,2022-23,Ida,Vuelta
Leipzig,1–8,Manchester City,2022-23,1–1,0–7
Brujas,1–7,Benfica,2022-23,0–2,1–5
Liverpool,2–6,Real Madrid,2022-23,2–5,0–1
Milan,1–0,Tottenham Hotspur,2022-23,1–0,0–0
Eintracht Fráncfort,0–5,Napoli,2022-23,0–2,0–3
Borussia Dortmund,1–2,Chelsea,2022-23,1–0,0–2
Inter de Milán,1–0,Porto,2022-23,1–0,0–0
París Saint-Germain,0–3,Bayern Múnich,2022-23,0–1,0–2
